FREQUENCY,NUMBER,WORDS,CATEGORY
14,14,Epic,Lexicon
14,14,Glee,Lexicon
14,14,Log,Lexicon
14,14,Lucid,Lexicon
14,14,My Body,Lexicon
14,14,Nod,Lexicon
14,14,Odin,Mythology
14,14,Pace,Lexicon
14,14,Peace,Lexicon
14,14,Ra,Lexicon
14,14,Ray,Lexicon
14,14,Year,Lexicon
14,14,You Are,Lexicon
15,15,Beyond,Lexicon
15,15,Bond,Lexicon
15,15,Buyer,Lexicon
15,15,Cocoon,Lexicon
15,15,Comedy,Lexicon
15,15,Deep,Lexicon
15,15,Ease,Lexicon
15,15,Easy,Lexicon
15,15,Eos,Mythology
15,15,Fine,Lexicon
15,15,Fun,Lexicon
15,15,Gem,Lexicon
15,15,Good Food,Lexicon
15,15,Heal,Lexicon
15,15,Holy,Lexicon
15,15,I See You,Lexicon
15,15,Image,Lexicon
15,15,Joke,Lexicon
15,15,M41 (Little Beehive Cluster),Celestial
15,15,Magi,Lexicon
15,15,Mega,Lexicon
15,15,Mg (Magnesium),Lexicon
15,15,Omega,Lexicon
15,15,Orb,Lexicon
15,15,S (Sulfur),Lexicon
15,15,Sea,Lexicon
15,15,Si (Silicon),Lexicon
15,15,Unify,Lexicon
15,15,Us,Lexicon
15,15,Use,Lexicon
15,15,Yes,Lexicon
15,15,You See,Lexicon
16,16,Again,Lexicon
16,16,Be Holy,Lexicon
16,16,Care,Lexicon
16,16,Codon,Lexicon
16,16,Core,Lexicon
16,16,Cure,Lexicon
16,16,Cycled,Lexicon
16,16,Dance,Lexicon
16,16,Eat,Lexicon
16,16,Edenic,Lexicon
16,16,Field,Lexicon
16,16,Fluid,Lexicon
16,16,Gain,Lexicon
16,16,Home,Lexicon
16,16,Hum,Lexicon
16,16,I Care,Lexicon
16,16,July,Calendar
16,16,Legacy,Lexicon
16,16,Logic,Lexicon
16,16,M15 (Great Pegasus Cluster),Celestial
16,16,Occupy,Lexicon
16,16,Sb (Antimony),Lexicon
16,16,You Care,Lexicon
17,17,Adore,Lexicon
17,17,Agape,Lexicon
17,17,Alike,Lexicon
17,17,Beauty,Lexicon
17,17,Begin,Lexicon
17,17,Being,Lexicon
17,17,Big Hug,Lexicon
17,17,Buddha Body,Lexicon
17,17,Buying,Lexicon
17,17,Cause,Lexicon
17,17,Dare,Lexicon
17,17,Dialogue,Lexicon
17,17,Doer,Lexicon
17,17,Embodied,Lexicon
17,17,Eve,Name
17,17,Godhead,Lexicon
17,17,Godly,Lexicon
17,17,Gold,Color
17,17,High,Lexicon
17,17,Honey,Lexicon
17,17,I Adore You,Lexicon
17,17,Jubilee,Lexicon
17,17,Look,Lexicon
17,17,Made Of,Lexicon
17,17,Magic,Lexicon
17,17,Maji,Lexicon
17,17,Mojo,Lexicon
17,17,Paced,Lexicon
17,17,Page,Lexicon
17,17,Read,Lexicon
17,17,Ready,Lexicon
17,17,Red,Color
17,17,To Be,Lexicon
17,17,Your Day,Lexicon
18,18,Above,Lexicon
18,18,Act,Lexicon
18,18,Agency,Lexicon
18,18,Ajna,Lexicon
18,18,All,Lexicon
18,18,Ally,Lexicon
18,18,Awe,Lexicon
18,18,Basic,Lexicon
18,18,Be Ready,Lexicon
18,18,Bird,Lexicon
18,18,Braid,Lexicon
18,18,Bride,Lexicon
18,18,Cadence,Lexicon
18,18,Cute,Lexicon
18,18,Cutie,Lexicon
18,18,Enjoy,Lexicon
18,18,Fairy,Lexicon
18,18,Find,Lexicon
18,18,Fire,Lexicon
18,18,Found,Lexicon
18,18,Free,Lexicon
18,18,Healed,Lexicon
18,18,Held,Lexicon
18,18,Hold,Lexicon
18,18,Hope,Lexicon
18,18,I Am Good,Lexicon
18,18,Ideas,Lexicon
18,18,Join,Lexicon
18,18,June,Calendar
18,18,Loyal,Lexicon
18,18,M44 (Beehive Cluster or Praesepe),Celestial
18,18,Make,Lexicon
18,18,Seed,Lexicon
18,18,Unified,Lexicon
18,18,Vibe,Lexicon
18,18,W (Tungsten),Lexicon
18,18,Your Body,Lexicon
19,19,A Nudge,Lexicon
19,19,Agree,Lexicon
19,19,Bell,Lexicon
19,19,Bow,Lexicon
19,19,Buddhic Body,Lexicon
19,19,Card,Lexicon
19,19,Chalice,Lexicon
19,19,Cloche,Lexicon
19,19,Decor,Lexicon
19,19,Deity,Lexicon
19,19,Drip,Lexicon
19,19,Duty,Lexicon
19,19,Edit,Lexicon
19,19,Feel Big,Lexicon
19,19,Grey,Color
19,19,Indigo,Color
19,19,Ink,Lexicon
19,19,Kin,Lexicon
19,19,Lock,Lexicon
19,19,Luck,Lexicon
19,19,Lucky,Lexicon
19,19,M45 (Pleiades or Seven Sisters),Celestial
19,19,Official,Lexicon
19,19,Safe,Lexicon
19,19,SOFIA (Asteroid),Celestial
19,19,To Do,Lexicon
19,19,Voice,Lexicon
20,20,A Loud Echo,Lexicon
20,20,Abiding,Lexicon
20,20,Accuracy,Lexicon
20,20,Amiable,Lexicon
20,20,Audacious,Lexicon
20,20,Avid,Lexicon
20,20,Balm,Lexicon
20,20,Black,Color
20,20,Bloom,Lexicon
20,20,Call,Lexicon
20,20,Chief Good,Lexicon
20,20,Child,Lexicon
20,20,Codes,Lexicon
20,20,Defiance,Lexicon
20,20,Deva,Mythology
20,20,Druid,Lexicon
20,20,Fate,Lexicon
20,20,Feat,Lexicon
20,20,Fierce,Lexicon
20,20,Fire + Ice,Lexicon
20,20,Force,Lexicon
20,20,Good Deal,Lexicon
20,20,Hara,Lexicon
20,20,Hear,Lexicon
20,20,Heir,Lexicon
20,20,Here,Lexicon
20,20,Hero,Lexicon
20,20,High Idea,Lexicon
20,20,Hire,Lexicon
20,20,Homebody,Lexicon
20,20,Honed,Lexicon
20,20,Joyful,Lexicon
20,20,Keep,Lexicon
20,20,Laugh,Lexicon
20,20,Lilac,Lexicon
20,20,Lion,Lexicon
20,20,Mom,Lexicon
20,20,My Choice,Lexicon
20,20,Only,Lexicon
20,20,Pacific,Lexicon
20,20,Peak,Lexicon
20,20,Sage,Color
20,20,Void,Lexicon
20,20,Yummy,Lexicon
21,21,Be Here,Lexicon
21,21,Beautify,Lexicon
21,21,Braided,Lexicon
21,21,By My Choice,Lexicon
21,21,Calm,Lexicon
21,21,Claim,Lexicon
21,21,Courage,Lexicon
21,21,Defined,Lexicon
21,21,Engage,Lexicon
21,21,Fabric,Lexicon
21,21,Fav,Lexicon
21,21,Feel Good,Lexicon
21,21,Focus,Lexicon
21,21,Freed,Lexicon
21,21,Friday,Calendar
21,21,G.O.A.T.,Lexicon
21,21,Gait,Lexicon
21,21,Going,Lexicon
21,21,Grace,Lexicon
21,21,Guidance,Lexicon
21,21,Gut,Lexicon
21,21,Homage,Lexicon
21,21,House,Lexicon
21,21,I Am Guided,Lexicon
21,21,I Feel Good,Lexicon
21,21,Joy Joy Joy,Lexicon
21,21,Leap,Lexicon
21,21,Loop,Lexicon
21,21,Man,Lexicon
21,21,Mine,Lexicon
21,21,Money,Lexicon
21,21,Moon,Celestial
21,21,My One,Lexicon
21,21,Name,Lexicon
21,21,Noble,Lexicon
21,21,Oh Yes,Lexicon
21,21,Omen,Lexicon
21,21,Play,Lexicon
21,21,Wed,Lexicon
21,21,Wood,Lexicon
21,21,Yeshua,Name
21,21,You Feel Good,Lexicon
22,22,Adding,Lexicon
22,22,Air God,Lexicon
22,22,Arch,Lexicon
22,22,Archeia,Angel
22,22,Body of Belief,Lexicon
22,22,Cascade,Lexicon
22,22,Cheery,Lexicon
22,22,Choir,Lexicon
22,22,Cozy,Lexicon
22,22,Devic,Mythology
22,22,Edited,Lexicon
22,22,Enough,Lexicon
22,22,Equal,Lexicon
22,22,Eureka,Lexicon
22,22,Facet,Lexicon
22,22,Facing,Lexicon
22,22,Fall,Calendar
22,22,Fill,Lexicon
22,22,Folly,Lexicon
22,22,Full,Lexicon
22,22,Fully,Lexicon
22,22,Give,Lexicon
22,22,Grid,Lexicon
22,22,Heat,Lexicon
22,22,Heroic,Lexicon
22,22,Hot,Lexicon
22,22,Joyous,Lexicon
22,22,Kind,Lexicon
22,22,Map,Lexicon
22,22,Melody,Lexicon
22,22,Model,Lexicon
22,22,Neon,Lexicon
22,22,Nudged,Lexicon
22,22,Offer,Lexicon
22,22,Reach,Lexicon
22,22,Rich,Lexicon
22,4,Succeed,Lexicon
22,22,Union,Lexicon
22,22,Vega,Celestial
22,22,Voyage,Lexicon
22,22,Wife,Lexicon
22,22,You Are God,Lexicon
22,22,You Are Good,Lexicon
23,5,Ariel,Angel
23,5,Ask,Lexicon
23,5,Balance,Lexicon
23,5,Bath,Lexicon
23,5,Bathe,Lexicon
23,5,Be Kind,Lexicon
23,5,Bloomed,Lexicon
23,5,Blue Aqua,Lexicon
23,5,Bridge,Lexicon
23,5,Calcium,Lexicon
23,5,Called,Lexicon
23,5,Cash,Lexicon
23,5,Chase,Lexicon
23,5,Cherub,Angel
23,5,Choose,Lexicon
23,5,Clap,Lexicon
23,5,Decades,Lexicon
23,5,Deifying,Lexicon
23,5,Dignify,Lexicon
23,5,Early,Lexicon
23,5,Echoes,Lexicon
23,5,Efficiency,Lexicon
23,5,Family,Lexicon
23,5,Figure,Lexicon
23,5,Flame,Lexicon
23,5,Foxy,Lexicon
23,5,Gall,Lexicon
23,5,Hardy,Lexicon
23,5,I Choose,Lexicon
23,5,I Choose You,Lexicon
23,5,I Have,Lexicon
23,5,Idyllic,Lexicon
23,5,Keys,Lexicon
23,5,Knife,Lexicon
23,5,Land,Lexicon
23,5,Lyra,Celestial
23,5,M67 (King Cobra or Golden Eye Cluster),Celestial
23,5,Medium,Lexicon
23,5,My Life,Lexicon
23,5,Nap,Lexicon
23,5,Open,Lexicon
23,5,Palace,Lexicon
23,5,Pebble,Lexicon
23,5,Pine,Lexicon
23,5,Place,Lexicon
23,5,Quick,Lexicon
23,5,Real,Lexicon
23,5,Refuge,Lexicon
23,5,Rejoice,Lexicon
23,5,Rely,Lexicon
23,5,Role,Lexicon
23,5,Royal,Lexicon
23,5,Rule,Lexicon
23,5,See God,Lexicon
23,5,See Good,Lexicon
23,5,Seek,Lexicon
23,5,Sky,Lexicon
23,5,So Good,Lexicon
23,5,Soak,Lexicon
23,5,Uriel,Angel
24,6,Amour,Lexicon
24,6,Aroma,Lexicon
24,6,Blonde,Color
24,6,Blue Aura,Lexicon
24,6,Blue Ray,Lexicon
24,6,Books,Lexicon
24,6,Bundle,Lexicon
24,6,Calmed,Lexicon
24,6,Capable,Lexicon
24,6,Change,Lexicon
24,6,Chat,Lexicon
24,6,Combine,Lexicon
24,6,Deciding,Lexicon
24,6,Dedicate,Lexicon
24,6,Deeply,Lexicon
24,6,Domain,Lexicon
24,6,Domino,Lexicon
24,6,Dynamo,Lexicon
24,6,Easily,Lexicon
24,6,Echoing,Lexicon
24,6,Engaged,Lexicon
24,6,Exceed,Lexicon
24,6,Final,Lexicon
24,6,Focused,Lexicon
24,6,Giggle,Lexicon
24,6,Gleam,Lexicon
24,6,Guiding,Lexicon
24,6,Hecate,Mythology
24,6,How,Lexicon
24,6,I Am a Beacon,Lexicon
24,6,I Am Peace,Lexicon
24,6,I Ching,Lexicon
24,6,Jegudiel,Angel
24,6,King,Lexicon
24,6,Libra,Celestial
24,6,Mind,Lexicon
24,6,Monday,Calendar
24,6,More,Lexicon
24,6,Mr.,Lexicon
24,6,My Belief,Lexicon
24,6,My Blue Body,Lexicon
24,6,Nuance,Lexicon
24,6,One Life,Lexicon
24,6,Our Choice,Lexicon
24,6,Queen,Lexicon
24,6,Seal,Lexicon
24,6,Sol,Lexicon
24,6,Sole,Lexicon
24,6,Soul,Lexicon
24,6,Teach,Lexicon
24,6,Touch,Lexicon
24,6,Unique,Lexicon
24,6,Your Choice,Lexicon
25,7,Achieve,Lexicon
25,7,Align,Lexicon
25,7,Amber,Incense
25,7,Angel,Lexicon
25,7,Ankh,Lexicon
25,7,Auryn,Lexicon
25,7,Body of Gold,Lexicon
25,7,Booking,Lexicon
25,7,By Our Choice,Lexicon
25,7,By Your Choice,Lexicon
25,7,Cascaded,Lexicon
25,7,Choices,Lexicon
25,7,Clear,Lexicon
25,7,Color,Lexicon
25,7,Dark,Lexicon
25,7,Elite,Lexicon
25,7,Elohim,Angel
25,7,Equip,Lexicon
25,7,Evoke,Lexicon
25,7,Faceted,Lexicon
25,7,Filled,Lexicon
25,7,Fluidly,Lexicon
25,7,Gaze,Lexicon
25,7,Genial,Lexicon
25,7,Gift,Lexicon
25,7,God-Like,Lexicon
25,7,Here I Go,Lexicon
25,7,Here You Go,Lexicon
25,7,Include,Lexicon
25,7,Iron,Lexicon
25,7,Jehudiel,Angel
25,7,Kabbalah,Lexicon
25,7,Liquid,Lexicon
25,7,Logical,Lexicon
25,7,M15 (Great Pegasus Cluster),Celestial
25,7,Made of Good,Lexicon
25,7,Muse,Lexicon
25,7,Offered,Lexicon
25,7,Oracle,Lexicon
25,7,Orchid,Lexicon
25,7,Rain,Lexicon
25,7,Reached,Lexicon
25,7,Succeeded,Lexicon
25,7,Sum,Lexicon
25,7,TBK,Lexicon
25,7,Teal,Color
25,7,The Day,Lexicon
25,7,Tool,Lexicon
25,7,Yearn,Lexicon
25,7,You Are Guided,Lexicon
25,7,Zodiac,Celestial
26,8,Ability,Lexicon
26,8,Aeons,Lexicon
26,8,Affect,Lexicon
26,8,Aiming,Lexicon
26,8,Alive,Lexicon
26,8,All Good,Lexicon
26,8,An Image,Lexicon
26,8,Atom,Lexicon
26,8,Awake,Lexicon
26,8,Be Clear,Lexicon
26,8,Belong,Lexicon
26,8,Binary,Lexicon
26,8,Born,Lexicon
26,8,Boron,Lexicon
26,8,Build. Life.,Lexicon
26,8,Built,Lexicon
26,8,Burn,Lexicon
26,8,Chased,Lexicon
26,8,Close,Lexicon
26,8,Clues,Lexicon
26,8,Comedian,Lexicon
26,8,Cooking,Lexicon
26,8,Dignified,Lexicon
26,8,Dusk,Calendar
26,8,Dynamic,Lexicon
26,8,Effect,Lexicon
26,8,Emit,Lexicon
26,8,Emote,Lexicon
26,8,Eons,Lexicon
26,8,Era of Good,Lexicon
26,8,Faith,Lexicon
26,8,Fire God,Lexicon
26,8,For Good,Lexicon
26,8,Funny,Lexicon
26,8,Gemini,Celestial
26,8,Go Play,Lexicon
26,8,Holy One,Lexicon
26,8,Hugs,Lexicon
26,8,Humble,Lexicon
26,8,I Imagine,Lexicon
26,8,I Love You,Lexicon
26,8,Imagine,Lexicon
26,8,Inhale,Lexicon
26,8,Joy of Good Food,Lexicon
26,8,Leader,Lexicon
26,8,Live,Lexicon
26,8,Lord,Lexicon
26,8,Love,Lexicon
26,8,Magical,Lexicon
26,8,Mango,Lexicon
26,8,Medicine,Lexicon
26,8,Meet,Lexicon
26,8,Met,Lexicon
26,8,My Care,Lexicon
26,8,My Home,Lexicon
26,8,Nibiru,Celestial
26,8,Oberon,Celestial
26,8,Ode to Joy,Lexicon
26,8,Opened,Lexicon
26,8,Oval,Geometry
26,8,Pair,Lexicon
26,8,Pray,Lexicon
26,8,Pure,Lexicon
26,8,Qualify,Lexicon
26,8,Ripe,Lexicon
26,8,Robin,Name
26,8,Seen,Lexicon
26,8,Sn (Tin),Lexicon
26,8,Soaked,Lexicon
26,8,Social,Lexicon
26,8,Son,Lexicon
26,8,Soon,Lexicon
26,8,Sun,Celestial
26,8,Table,Lexicon
26,8,Team,Lexicon
26,8,Time,Lexicon
26,8,Ukulele,Lexicon
26,8,Unbound,Lexicon
26,8,Value,Lexicon
26,8,Week,Lexicon
26,8,You Imagine,Lexicon
27,9,Admire,Lexicon
27,9,Adorable,Lexicon
27,9,Agatha,Name
27,9,Alchemy,Oracle
27,9,Alpha,Lexicon
27,9,Angelic,Lexicon
27,9,Anubis,Mythology
27,9,Back Home,Lexicon
27,9,Be Seen,Lexicon
27,9,Believe,Lexicon
27,9,Beneficial,Lexicon
27,9,Body Keys,Lexicon
27,9,Bone-Deep,Lexicon
27,9,Bonus,Lexicon
27,9,Bubbles,Lexicon
27,9,Builder,Lexicon
27,9,Bundled,Lexicon
27,9,Charge,Lexicon
27,9,Circle,Geometry
27,9,Clubs,Lexicon
27,9,Combined,Lexicon
27,9,Conclude,Lexicon
27,9,Cooling,Lexicon
27,9,Corona,Lexicon
27,9,Crucial,Lexicon
27,9,Dedicated,Lexicon
27,9,Diamond,Lexicon
27,9,Drama,Lexicon
27,9,Dream,Lexicon
27,9,Dreamy,Lexicon
27,9,Egg of Life,Geometry
27,9,Elegance,Lexicon
27,9,Elicit,Lexicon
27,9,Embrace,Lexicon
27,9,Enfold,Lexicon
27,9,Exceeded,Lexicon
27,9,Eyes of God,Lexicon
27,9,Feeler,Lexicon
27,9,Flare,Lexicon
27,9,Freely,Lexicon
27,9,Genuine,Lexicon
27,9,Help,Lexicon
27,9,Human,Lexicon
27,9,Humane,Lexicon
27,9,I Am Gold,Lexicon
27,9,I Am Ready,Lexicon
27,9,I Believe,Lexicon
27,9,Ideal Use,Lexicon
27,9,Judicious,Lexicon
27,9,Law,Lexicon
27,9,Lock + Key,Lexicon
27,9,Michael,Angel
27,9,Milky,Lexicon
27,9,Move,Lexicon
27,9,Music,Lexicon
27,9,My Gold,Lexicon
27,9,My Mojo,Lexicon
27,9,Note,Lexicon
27,9,Our Life,Lexicon
27,9,Package,Lexicon
27,9,Pause,Lexicon
27,9,Peaceful,Lexicon
27,9,Poise,Lexicon
27,9,Redeem,Lexicon
27,9,Relief,Lexicon
27,9,Sold,Lexicon
27,9,Solid,Lexicon
27,9,Tin,Lexicon
27,9,Tiny,Lexicon
27,9,Tone,Lexicon
27,9,Tune,Lexicon
27,9,Unfold,Lexicon
27,9,Unit,Lexicon
27,9,Unity,Lexicon
27,9,Wily,Lexicon
27,9,Yehoshua,Name
27,9,You Believe,Lexicon
27,9,Your Life,Lexicon
28,10,Abundance,Lexicon
28,10,Achieved,Lexicon
28,10,Adorn,Lexicon
28,10,Aligned,Lexicon
28,10,Apt,Lexicon
28,10,Atomic,Lexicon
28,10,Aurora,Lexicon
28,10,Avian,Lexicon
28,10,Be Changed,Lexicon
28,10,Bedrock,Lexicon
28,10,Below,Lexicon
28,10,Blades,Lexicon
28,10,Bought,Lexicon
28,10,Bounty,Lexicon
28,10,Carbon,Lexicon
28,10,Civil,Lexicon
28,10,Cleared,Lexicon
28,10,Cobalt,Lexicon
28,10,Coins,Lexicon
28,10,Cold Beer,Lexicon
28,10,Come Home,Lexicon
28,10,Coming,Lexicon
28,10,Cradle,Lexicon
28,10,Declare,Lexicon
28,10,Delete,Lexicon
28,10,Detail,Lexicon
28,10,Echelon,Lexicon
28,10,Elated,Lexicon
28,10,Enjoyable,Lexicon
28,10,Enjoyably,Lexicon
28,10,Evoked,Lexicon
28,10,Face-to-Face,Lexicon
28,10,Firm,Lexicon
28,10,Form,Lexicon
28,10,Glory,Lexicon
28,10,Golden,Lexicon
28,10,Grail,Lexicon
28,10,Herk,Lexicon
28,10,I Am Free,Lexicon
28,10,I Am Held,Lexicon
28,10,Included,Lexicon
28,10,Indulge,Lexicon
28,10,Jeshua,Name
28,10,Join Me,Lexicon
28,10,Large,Lexicon
28,10,Launch,Lexicon
28,10,Leading,Lexicon
28,10,Legend,Lexicon
28,10,Like a Hug,Lexicon
28,10,Link,Lexicon
28,10,Lunch,Lexicon
28,10,Magician,Lexicon
28,10,Make a Choice,Lexicon
28,10,Midas,Mythology
28,10,Okyrhoe,Mythology
28,10,Only Good,Lexicon
28,10,Our Belief,Lexicon
28,10,Poet,Lexicon
28,10,Pt (Platinum),Lexicon
28,10,Rare,Lexicon
28,10,Regal,Lexicon
28,10,Sequoia,Name
28,10,Sodium,Lexicon
28,10,Sync,Lexicon
28,10,Useful,Lexicon
28,10,Utopia,Lexicon
28,10,Vocal,Lexicon
28,10,You Are a Beacon,Lexicon
28,10,Your Belief,Lexicon
29,11,Acquire,Lexicon
29,11,Action,Lexicon
29,11,Adonis,Mythology
29,11,All In,Lexicon
29,11,An Ally,Lexicon
29,11,Aries,Celestial
29,11,Arouse,Lexicon
29,11,Beacons,Lexicon
29,11,Bearer,Lexicon
29,11,Becoming,Lexicon
29,11,Beliefs,Lexicon
29,11,Blue Bodies,Lexicon
29,11,Body Oracle,Lexicon
29,11,Cancer,Celestial
29,11,Celtic,Lexicon
29,11,Chapel,Lexicon
29,11,Clarify,Lexicon
29,11,Cosmic,Lexicon
29,11,Credible,Lexicon
29,11,Cups,Lexicon
29,11,Cycling,Lexicon
29,11,Deeper,Lexicon
29,11,Delicious,Lexicon
29,11,Dense,Lexicon
29,11,Depend,Lexicon
29,11,Drop,Lexicon
29,11,Dynamic Duo,Lexicon
29,11,Easier,Lexicon
29,11,Emerge,Lexicon
29,11,Enact,Lexicon
29,11,Eros,Mythology
29,11,Feel It,Lexicon
29,11,Feeling,Lexicon
29,11,Felt,Lexicon
29,11,Float,Lexicon
29,11,Flying,Lexicon
29,11,Gabriel,Angel
29,11,Germ,Lexicon
29,11,Good to Go,Lexicon
29,11,Groom,Lexicon
29,11,Healer,Lexicon
29,11,Humbled,Lexicon
29,11,I Am Safe,Lexicon
29,11,I Win,Lexicon
29,11,I Won,Lexicon
29,11,Imagined,Lexicon
29,11,In Awe,Lexicon
29,11,Indigo Blue,Lexicon
29,11,Ineffable,Lexicon
29,11,Inside,Lexicon
29,11,Ley Line,Lexicon
29,11,Logos,Lexicon
29,11,Loveday,Lexicon
29,11,Lucifer,Mythology
29,11,Made up Of,Lexicon
29,11,Merge,Lexicon
29,11,My Duty,Lexicon
29,11,My Voice,Lexicon
29,11,New,Lexicon
29,11,Notice,Lexicon
29,11,Now,Lexicon
29,11,Once Again,Lexicon
29,11,One Act,Lexicon
29,11,Ours,Lexicon
29,11,Own,Lexicon
29,11,Pride,Lexicon
29,11,Proud,Lexicon
29,11,Qualified,Lexicon
29,11,Quiet,Lexicon
29,11,Read Aloud,Lexicon
29,11,Refine,Lexicon
29,11,Rise,Lexicon
29,11,Ruby Ray,Lexicon
29,11,Scope,Lexicon
29,11,Seer,Lexicon
29,11,Send,Lexicon
29,11,Shake,Lexicon
29,11,Sigil,Lexicon
29,11,Soar,Lexicon
29,11,Sound,Lexicon
29,11,Space,Lexicon
29,11,Spice,Lexicon
29,11,Spicy,Lexicon
29,11,Sunday,Calendar
29,11,Sure,Lexicon
29,11,The Joy,Lexicon
29,11,To Become,Lexicon
29,11,Unbounded,Lexicon
29,11,Valid,Lexicon
29,11,Valued,Lexicon
29,11,Win,Lexicon
29,11,Won,Lexicon
29,11,You Win,Lexicon
29,11,You Won,Lexicon
29,11,Yours,Lexicon
30,3,A Beach House,Lexicon
30,3,Addendum,Lexicon
30,3,Admired,Lexicon
30,3,Agility,Lexicon
30,3,An Image of You,Lexicon
30,3,Animal,Lexicon
30,3,Apollo,Mythology
30,3,Arete,Lexicon
30,3,Art,Lexicon
30,3,At Peace,Lexicon
30,3,Atreyu,Name
30,3,Be Loved,Lexicon
30,3,Beautiful,Lexicon
30,3,Beloved,Lexicon
30,3,Billion,Lexicon
30,3,Bitcoin,Lexicon
30,3,Bonds,Lexicon
30,3,Book of Magic,Lexicon
30,3,Bouquet,Lexicon
30,3,Break of Day,Lexicon
30,3,Calmly,Lexicon
30,3,Candor,Lexicon
30,3,Carry,Lexicon
30,3,Chakra,Lexicon
30,3,Charged,Lexicon
30,3,Citadel,Lexicon
30,3,Concise,Lexicon
30,3,Concluded,Lexicon
30,3,Convey,Lexicon
30,3,Dancer,Lexicon
30,3,December,Calendar
30,3,Diligence,Lexicon
30,3,Edition,Lexicon
30,3,Elucidate,Lexicon
30,3,Emblem,Lexicon
30,3,Energy,Lexicon
30,3,Enfolded,Lexicon
